song,song_popularity,artist,album,album_cover,artist_popularity,genre
Grass Is Greener,48,St. Paul & The Broken Bones,Half The City,https://i.scdn.co/image/ab67616d0000b273793d44aad3d0c0158d517c15,54,blues
Blacksnake Blues,48,All Them Witches,Blacksnake Blues,https://i.scdn.co/image/ab67616d0000b2731b00f37eebefb940126fd562,52,blues
We Get By,48,Mavis Staples,We Get By,https://i.scdn.co/image/ab67616d0000b27327d12475983658195016bdf3,50,blues
Been Here Before,48,"Christone ""Kingfish"" Ingram",Kingfish,https://i.scdn.co/image/ab67616d0000b273545413916f590cb450be5db5,45,blues
Hold Me,48,The Teskey Brothers,Run Home Slow,https://i.scdn.co/image/ab67616d0000b2730a1094fb4655a99d33fd1434,57,blues
Your Heart Is As Black As Night,48,Joe Bonamassa,Don't Explain,https://i.scdn.co/image/ab67616d0000b2730a8aab53691b1d43bfdd3158,57,blues
How High,48,The Record Company,Play Loud,https://i.scdn.co/image/ab67616d0000b273ef543d90521571813b5e00cd,48,blues
Whiskey And Wimmen',48,John Lee Hooker,Hooker 'N Heat,https://i.scdn.co/image/ab67616d0000b273662411892ac6f750e0befe9e,57,blues
Smoking Gun,48,Robert Cray,20th Century Masters: The Millennium Collection: Best Of Robert Cray,https://i.scdn.co/image/ab67616d0000b273a538078c0305d86e53579199,46,blues
Back To New Orleans,47,Lightnin' Hopkins,The Complete Prestige / Bluesville Recordings,https://i.scdn.co/image/ab67616d0000b273dadee7cf710516035c64c877,44,blues
